Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,has_hoa,senior_community_yn,style,county,new_construction_yn
4 Touchstone #133,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-133/home/26057637,275000,2,2,984,No,1970,No,Yes,No,Condo/Co-op,Clackamas County,No
47 Eagle Crest Dr #42,https://www.redfin.com/OR/Lake-Oswego/47-Eagle-Crest-Dr-97035/unit-42/home/25764161,230000,2,1,932,Yes,1979,No,Yes,No,Condo/Co-op,Multnomah County,No
71 Condolea Way,https://www.redfin.com/OR/Lake-Oswego/71-Condolea-Way-97035/home/26610706,625000,3,3,2131,Yes,1979,Yes,Yes,Yes,Condo/Co-op,Multnomah County,No
124 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/124-Oswego-Smt-97035/home/26580406,265000,2,2,1140,Yes,1978,Yes,Yes,No,Condo/Co-op,Multnomah County,No
45 Eagle Crest Dr #313,https://www.redfin.com/OR/Lake-Oswego/45-Eagle-Crest-Dr-97035/unit-313/home/26301507,244900,2,2,1056,Yes,1971,Yes,Yes,No,Condo/Co-op,Multnomah County,No
4 Touchstone #63,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-63/home/25795589,310000,2,2,974,Yes,1970,Yes,Yes,No,Condo/Co-op,Clackamas County,No
12535 SW Boones Ferry Rd,https://www.redfin.com/OR/Lake-Oswego/12535-Boones-Ferry-Rd-97035/home/26554520,503000,3,2,1829,No,1941,Yes,No,No,Single Family Residential,Multnomah County,No
4316 Botticelli St,https://www.redfin.com/OR/Lake-Oswego/4316-Botticelli-St-97035/home/25845400,450000,2,2.5,2260,Yes,1977,Yes,Yes,No,Condo/Co-op,Clackamas County,No
45 Eagle Crest Dr #506,https://www.redfin.com/OR/Lake-Oswego/45-Eagle-Crest-Dr-97035/unit-506/home/26593636,225000,1,1,600,Yes,1971,No,Yes,No,Condo/Co-op,Multnomah County,No
4291 Woodside Cir,https://www.redfin.com/OR/Lake-Oswego/4291-Woodside-Cir-97035/home/26011471,610000,3,2,2026,Yes,1974,No,Yes,No,Single Family Residential,Clackamas County,No
17975 Belmore Ave,https://www.redfin.com/OR/Lake-Oswego/17975-Belmore-Ave-97035/home/25791421,490000,3,1,1012,Yes,1963,No,No,No,Single Family Residential,Clackamas County,No
